Tengo,Salario.mensual.BRUTO..en.tu.moneda.local.,X.Tenés.guardias._No,X.Tenés.guardias._Sí..activa,X.Tenés.guardias._Sí..pasiva,X.Programás.como.hobbie._No,X.Programás.como.hobbie._Sí,X.Tuviste.ajustes.por.inflación.en.2019._Dos,X.Tuviste.ajustes.por.inflación.en.2019._Más.de.tres,X.Tuviste.ajustes.por.inflación.en.2019._No,X.Tuviste.ajustes.por.inflación.en.2019._Tres,X.Tuviste.ajustes.por.inflación.en.2019._Uno
40,41000,1,0,0,1,0,0,0,0,1,0
35,60000,1,0,0,0,1,0,0,0,1,0
39,180000,1,0,0,0,1,0,0,1,0,0
42,150000,1,0,0,1,0,0,0,0,1,0
29,25200,1,0,0,0,1,0,0,1,0,0
28,150000,1,0,0,1,0,1,0,0,0,0
36,250000,0,0,1,1,0,0,0,1,0,0
37,57000,1,0,0,0,1,0,0,0,1,0
27,46000,1,0,0,0,1,1,0,0,0,0
27,37000,1,0,0,0,1,1,0,0,0,0
22,32000,1,0,0,0,1,0,0,0,0,1
30,40000,1,0,0,0,1,0,0,1,0,0
38,65500,1,0,0,1,0,0,1,0,0,0
28,42000,1,0,0,0,1,0,0,0,0,1
42,70000,0,0,1,0,1,0,0,1,0,0
28,33000,1,0,0,0,1,0,0,0,0,1
37,85000,1,0,0,0,1,1,0,0,0,0
40,70000,1,0,0,0,1,0,0,1,0,0
41,47900,1,0,0,0,1,0,0,1,0,0
33,80000,1,0,0,0,1,0,0,1,0,0
26,40000,0,0,1,1,0,0,0,0,1,0
31,70000,0,0,1,0,1,0,1,0,0,0
40,110000,1,0,0,0,1,0,0,0,0,1
29,510000,1,0,0,0,1,0,0,1,0,0
26,78000,1,0,0,1,0,0,0,0,0,1
36,300000,0,0,1,1,0,0,0,1,0,0
27,119000,1,0,0,1,0,1,0,0,0,0
25,35000,1,0,0,1,0,0,0,1,0,0
23,32000,0,0,1,1,0,0,0,0,0,1
46,65784,0,0,1,0,1,0,0,0,0,1
46,70000,1,0,0,1,0,0,0,1,0,0
46,70000,1,0,0,1,0,0,0,1,0,0
34,61000,1,0,0,0,1,0,0,0,0,1
30,50000,1,0,0,0,1,0,0,0,0,1
30,18000,1,0,0,0,1,0,0,0,0,1
28,131000,1,0,0,1,0,0,0,0,1,0
35,182000,0,0,1,0,1,0,0,0,1,0
27,47000,1,0,0,0,1,1,0,0,0,0
24,35000,1,0,0,0,1,0,0,1,0,0
46,90000,1,0,0,0,1,1,0,0,0,0
41,50000,0,0,1,1,0,0,0,0,0,1
46,161600,1,0,0,0,1,1,0,0,0,0
35,120000,1,0,0,0,1,0,0,0,0,1
42,100000,0,0,1,1,0,1,0,0,0,0
31,145000,1,0,0,0,1,0,0,0,0,1
44,167000,1,0,0,0,1,1,0,0,0,0
40,100000,1,0,0,0,1,1,0,0,0,0
33,70000,1,0,0,0,1,0,0,0,0,1
40,40000,1,0,0,1,0,1,0,0,0,0
30,50000,1,0,0,0,1,0,0,0,0,1
29,47945,1,0,0,0,1,1,0,0,0,0
35,200000,1,0,0,1,0,1,0,0,0,0
24,35246.53,1,0,0,1,0,1,0,0,0,0
43,117000,1,0,0,1,0,1,0,0,0,0
38,76000,0,0,1,0,1,0,0,1,0,0
31,73000,1,0,0,1,0,1,0,0,0,0
22,15,1,0,0,0,1,1,0,0,0,0
33,230000,1,0,0,1,0,1,0,0,0,0
24,35000,1,0,0,0,1,0,0,1,0,0
31,107000,1,0,0,0,1,0,0,0,0,1
33,50000,1,0,0,0,1,0,0,1,0,0
24,67000,1,0,0,0,1,0,0,0,0,1
37,140000,0,0,1,0,1,0,1,0,0,0
26,82000,0,0,1,0,1,0,0,0,1,0
36,150,0,0,1,0,1,0,0,0,1,0
22,52000,1,0,0,0,1,0,0,1,0,0
22,25000,1,0,0,0,1,0,0,1,0,0
22,45000,0,0,1,0,1,0,0,0,0,1
23,110000,1,0,0,0,1,0,0,1,0,0
30,190000,0,0,1,1,0,0,0,0,1,0
41,75000,0,0,1,1,0,0,1,0,0,0
29,100800,0,0,1,0,1,1,0,0,0,0
25,74000,1,0,0,0,1,1,0,0,0,0
27,215000,0,0,1,1,0,0,0,0,1,0
40,230000,1,0,0,0,1,0,0,0,1,0
41,142000,1,0,0,0,1,0,0,0,1,0
39,120000,1,0,0,0,1,1,0,0,0,0
43,80000,1,0,0,0,1,1,0,0,0,0
30,78228,1,0,0,0,1,1,0,0,0,0
24,43000,1,0,0,0,1,1,0,0,0,0
35,116071,1,0,0,1,0,1,0,0,0,0
30,90000,1,0,0,0,1,0,0,0,0,1
34,63636,1,0,0,0,1,0,0,0,0,1
38,65722,1,0,0,1,0,0,0,0,1,0
29,105000,0,0,1,0,1,0,0,1,0,0
40,40000,1,0,0,0,1,0,0,1,0,0
42,100000,1,0,0,1,0,0,0,1,0,0
33,110000,0,0,1,0,1,0,0,1,0,0
31,80000,1,0,0,1,0,0,0,0,0,1
24,45000,1,0,0,0,1,0,0,0,0,1
30,106000,0,0,1,1,0,0,0,0,1,0
42,95000,0,0,1,0,1,1,0,0,0,0
31,95500,0,0,1,1,0,1,0,0,0,0
38,160000,0,0,1,1,0,1,0,0,0,0
32,75182,1,0,0,1,0,0,0,0,0,1
43,80000,1,0,0,0,1,1,0,0,0,0
36,100000,1,0,0,0,1,0,0,0,1,0
26,72000,1,0,0,0,1,0,0,0,0,1
32,160000,1,0,0,1,0,0,0,1,0,0
34,80,1,0,0,0,1,0,0,0,1,0
33,64200,1,0,0,1,0,0,0,0,0,1
30,300000,1,0,0,0,1,0,0,1,0,0
24,100000,1,0,0,0,1,0,0,0,0,1
31,112000,1,0,0,0,1,1,0,0,0,0
35,75000,1,0,0,0,1,0,0,1,0,0
24,32000,1,0,0,1,0,0,0,1,0,0
35,220000,1,0,0,1,0,0,1,0,0,0
38,250000,1,0,0,1,0,0,1,0,0,0
22,50000,1,0,0,0,1,0,0,1,0,0
37,200000,0,0,1,0,1,1,0,0,0,0
25,120000,1,0,0,0,1,0,0,1,0,0
25,120000,1,0,0,0,1,1,0,0,0,0
27,105000,0,0,1,0,1,0,0,0,0,1
44,145000,0,0,1,1,0,0,0,1,0,0
46,57000,1,0,0,0,1,1,0,0,0,0
46,70000,1,0,0,1,0,0,0,1,0,0
25,115000,0,0,1,1,0,0,0,1,0,0
26,130000,1,0,0,1,0,0,0,0,0,1
32,72000,1,0,0,0,1,1,0,0,0,0
34,371000,0,0,1,1,0,1,0,0,0,0
31,30,1,0,0,0,1,1,0,0,0,0
22,41687,1,0,0,0,1,0,0,0,0,1
30,72000,1,0,0,1,0,1,0,0,0,0
29,90000,1,0,0,1,0,0,0,0,1,0
27,206000,1,0,0,1,0,0,1,0,0,0
29,75000,0,0,1,0,1,0,0,0,0,1
22,50000,0,1,0,1,0,0,0,0,1,0
39,56500,1,0,0,0,1,0,0,0,1,0
43,200000,1,0,0,1,0,1,0,0,0,0
40,72000,1,0,0,0,1,0,1,0,0,0
31,94000,0,0,1,0,1,1,0,0,0,0
34,220784,1,0,0,0,1,1,0,0,0,0
24,42000,1,0,0,1,0,0,0,0,1,0
25,70000,0,0,1,0,1,1,0,0,0,0
24,85000,0,0,1,1,0,0,1,0,0,0
27,110000,1,0,0,1,0,1,0,0,0,0
30,156000,1,0,0,1,0,0,0,1,0,0
23,395000,1,0,0,0,1,0,0,1,0,0
37,140000,1,0,0,1,0,1,0,0,0,0
24,78665,0,0,1,0,1,0,0,0,1,0
27,60000,1,0,0,0,1,0,0,1,0,0
30,78000,1,0,0,1,0,0,0,0,0,1
25,42000,1,0,0,0,1,0,0,0,0,1
